event_code,event_title,chapter,segment_code,segment_desc,optionality,repeatability,is_group,group_path,level,order_index,detail_url
BAR_P05,BAR P05 - Update account Trigger Event (HL7 v2.3),Financial Management,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/BAR_P05
BAR_P05,BAR P05 - Update account Trigger Event (HL7 v2.3),Financial Management,EVN,Event type,R,-,False,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/BAR_P05
BAR_P05,BAR P05 - Update account Trigger Event (HL7 v2.3),Financial Management,PID,Patient Identification,R,-,False,,0,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/BAR_P05
BAR_P05,BAR P05 - Update account Trigger Event (HL7 v2.3),Financial Management,PD1,Patient Demographic,R,-,False,,0,3,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/BAR_P05
BAR_P05,BAR P05 - Update account Trigger Event (HL7 v2.3),Financial Management,VISIT,VISIT group,R,inf,True,,0,4,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/BAR_P05
BAR_P05,BAR P05 - Update account Trigger Event (HL7 v2.3),Financial Management,PV1,Patient visit,R,-,False,VISIT,1,5,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/BAR_P05
BAR_P05,BAR P05 - Update account Trigger Event (HL7 v2.3),Financial Management,PV2,Patient visit - additional information,R,-,False,VISIT,1,6,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/BAR_P05
BAR_P05,BAR P05 - Update account Trigger Event (HL7 v2.3),Financial Management,DB1,Disability Segment,R,-,False,VISIT,1,7,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/BAR_P05
BAR_P05,BAR P05 - Update account Trigger Event (HL7 v2.3),Financial Management,OBX,Observation segment,R,-,False,VISIT,1,8,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/BAR_P05
BAR_P05,BAR P05 - Update account Trigger Event (HL7 v2.3),Financial Management,AL1,Patient Allergy Information,R,-,False,VISIT,1,9,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/BAR_P05
BAR_P05,BAR P05 - Update account Trigger Event (HL7 v2.3),Financial Management,DG1,Diagnosis,R,-,False,VISIT,1,10,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/BAR_P05
BAR_P05,BAR P05 - Update account Trigger Event (HL7 v2.3),Financial Management,DRG,Diagnosis Related Group,R,-,False,VISIT,1,11,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/BAR_P05
BAR_P05,BAR P05 - Update account Trigger Event (HL7 v2.3),Financial Management,PROCEDURE,PROCEDURE group,R,inf,True,VISIT,1,12,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/BAR_P05
BAR_P05,BAR P05 - Update account Trigger Event (HL7 v2.3),Financial Management,GT1,Guarantor,R,-,False,VISIT,1,13,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/BAR_P05
BAR_P05,BAR P05 - Update account Trigger Event (HL7 v2.3),Financial Management,NK1,Next of kin,R,-,False,VISIT,1,14,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/BAR_P05
BAR_P05,BAR P05 - Update account Trigger Event (HL7 v2.3),Financial Management,INSURANCE,INSURANCE group,R,inf,True,VISIT,1,15,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/BAR_P05
BAR_P05,BAR P05 - Update account Trigger Event (HL7 v2.3),Financial Management,ACC,Accident,R,-,False,VISIT,1,16,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/BAR_P05
BAR_P05,BAR P05 - Update account Trigger Event (HL7 v2.3),Financial Management,UB1,UB82 data,R,-,False,VISIT,1,17,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/BAR_P05
BAR_P05,BAR P05 - Update account Trigger Event (HL7 v2.3),Financial Management,UB2,UB92 data,R,-,False,VISIT,1,18,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/BAR_P05
