event_code,event_title,chapter,segment_code,segment_desc,optionality,repeatability,is_group,group_path,level,order_index,detail_url
DFT_P03,DFT P03 - Post detail financial transaction Trigger Event (HL7 v2.3),Financial Management,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DFT_P03
DFT_P03,DFT P03 - Post detail financial transaction Trigger Event (HL7 v2.3),Financial Management,EVN,Event type,R,-,False,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DFT_P03
DFT_P03,DFT P03 - Post detail financial transaction Trigger Event (HL7 v2.3),Financial Management,PID,Patient Identification,R,-,False,,0,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DFT_P03
DFT_P03,DFT P03 - Post detail financial transaction Trigger Event (HL7 v2.3),Financial Management,PD1,Patient Demographic,R,-,False,,0,3,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DFT_P03
DFT_P03,DFT P03 - Post detail financial transaction Trigger Event (HL7 v2.3),Financial Management,PV1,Patient visit,R,-,False,,0,4,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DFT_P03
DFT_P03,DFT P03 - Post detail financial transaction Trigger Event (HL7 v2.3),Financial Management,PV2,Patient visit - additional information,R,-,False,,0,5,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DFT_P03
DFT_P03,DFT P03 - Post detail financial transaction Trigger Event (HL7 v2.3),Financial Management,DB1,Disability Segment,R,-,False,,0,6,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DFT_P03
DFT_P03,DFT P03 - Post detail financial transaction Trigger Event (HL7 v2.3),Financial Management,OBX,Observation segment,R,-,False,,0,7,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DFT_P03
DFT_P03,DFT P03 - Post detail financial transaction Trigger Event (HL7 v2.3),Financial Management,FINANCIAL,FINANCIAL group,R,inf,True,,0,8,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DFT_P03
DFT_P03,DFT P03 - Post detail financial transaction Trigger Event (HL7 v2.3),Financial Management,FT1,Financial transaction,R,-,False,FINANCIAL,1,9,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DFT_P03
DFT_P03,DFT P03 - Post detail financial transaction Trigger Event (HL7 v2.3),Financial Management,FINANCIAL PROCEDURE,FINANCIAL PROCEDURE group,R,inf,True,FINANCIAL,1,10,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DFT_P03
DFT_P03,DFT P03 - Post detail financial transaction Trigger Event (HL7 v2.3),Financial Management,DG1,Diagnosis,R,-,False,,0,11,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DFT_P03
DFT_P03,DFT P03 - Post detail financial transaction Trigger Event (HL7 v2.3),Financial Management,DRG,Diagnosis Related Group,R,-,False,,0,12,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DFT_P03
DFT_P03,DFT P03 - Post detail financial transaction Trigger Event (HL7 v2.3),Financial Management,GT1,Guarantor,R,-,False,,0,13,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DFT_P03
DFT_P03,DFT P03 - Post detail financial transaction Trigger Event (HL7 v2.3),Financial Management,INSURANCE,INSURANCE group,R,inf,True,,0,14,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DFT_P03
DFT_P03,DFT P03 - Post detail financial transaction Trigger Event (HL7 v2.3),Financial Management,IN1,Insurance,R,-,False,INSURANCE,1,15,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DFT_P03
DFT_P03,DFT P03 - Post detail financial transaction Trigger Event (HL7 v2.3),Financial Management,IN2,Insurance additional info,R,-,False,INSURANCE,1,16,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DFT_P03
DFT_P03,DFT P03 - Post detail financial transaction Trigger Event (HL7 v2.3),Financial Management,IN3,Insurance additional info - certification,R,-,False,INSURANCE,1,17,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DFT_P03
DFT_P03,DFT P03 - Post detail financial transaction Trigger Event (HL7 v2.3),Financial Management,ACC,Accident,R,-,False,,0,18,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DFT_P03
