event_code,event_title,chapter,segment_code,segment_desc,optionality,repeatability,is_group,group_path,level,order_index,detail_url
DOC_T12,DOC T12 - Document response Trigger Event (HL7 v2.3),Medical Records/Information Management,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DOC_T12
DOC_T12,DOC T12 - Document response Trigger Event (HL7 v2.3),Medical Records/Information Management,MSA,Message acknowledgement segment,R,-,False,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DOC_T12
DOC_T12,DOC T12 - Document response Trigger Event (HL7 v2.3),Medical Records/Information Management,ERR,Error segment,R,-,False,,0,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DOC_T12
DOC_T12,DOC T12 - Document response Trigger Event (HL7 v2.3),Medical Records/Information Management,QRD,Query definition segment,R,-,False,,0,3,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DOC_T12
DOC_T12,DOC T12 - Document response Trigger Event (HL7 v2.3),Medical Records/Information Management,RESULT,RESULT group,R,inf,True,,0,4,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DOC_T12
DOC_T12,DOC T12 - Document response Trigger Event (HL7 v2.3),Medical Records/Information Management,EVN,Event type,R,-,False,RESULT,1,5,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DOC_T12
DOC_T12,DOC T12 - Document response Trigger Event (HL7 v2.3),Medical Records/Information Management,PID,Patient Identification,R,-,False,RESULT,1,6,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DOC_T12
DOC_T12,DOC T12 - Document response Trigger Event (HL7 v2.3),Medical Records/Information Management,PV1,Patient visit,R,-,False,RESULT,1,7,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DOC_T12
DOC_T12,DOC T12 - Document response Trigger Event (HL7 v2.3),Medical Records/Information Management,TXA,Document notification segment,R,-,False,RESULT,1,8,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DOC_T12
DOC_T12,DOC T12 - Document response Trigger Event (HL7 v2.3),Medical Records/Information Management,OBX,Observation segment,R,-,False,RESULT,1,9,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DOC_T12
DOC_T12,DOC T12 - Document response Trigger Event (HL7 v2.3),Medical Records/Information Management,DSC,Continuation pointer segment,R,-,False,,0,10,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/DOC_T12
