event_code,event_title,chapter,segment_code,segment_desc,optionality,repeatability,is_group,group_path,level,order_index,detail_url
OSR_Q06,OSR Q06 - Query response for order status Trigger Event (HL7 v2.3),Order Entry,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/OSR_Q06
OSR_Q06,OSR Q06 - Query response for order status Trigger Event (HL7 v2.3),Order Entry,MSA,Message acknowledgement segment,R,-,False,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/OSR_Q06
OSR_Q06,OSR Q06 - Query response for order status Trigger Event (HL7 v2.3),Order Entry,ERR,Error segment,R,-,False,,0,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/OSR_Q06
OSR_Q06,OSR Q06 - Query response for order status Trigger Event (HL7 v2.3),Order Entry,NTE,Notes and comments segment,R,-,False,,0,3,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/OSR_Q06
OSR_Q06,OSR Q06 - Query response for order status Trigger Event (HL7 v2.3),Order Entry,QRD,Query definition segment,R,-,False,,0,4,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/OSR_Q06
OSR_Q06,OSR Q06 - Query response for order status Trigger Event (HL7 v2.3),Order Entry,QRF,Query filter segment,R,-,False,,0,5,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/OSR_Q06
OSR_Q06,OSR Q06 - Query response for order status Trigger Event (HL7 v2.3),Order Entry,RESPONSE,RESPONSE group,R,inf,True,,0,6,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/OSR_Q06
OSR_Q06,OSR Q06 - Query response for order status Trigger Event (HL7 v2.3),Order Entry,PATIENT,PATIENT group,R,inf,True,RESPONSE,1,7,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/OSR_Q06
OSR_Q06,OSR Q06 - Query response for order status Trigger Event (HL7 v2.3),Order Entry,ORDER,ORDER group,R,inf,True,RESPONSE,1,8,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/OSR_Q06
OSR_Q06,OSR Q06 - Query response for order status Trigger Event (HL7 v2.3),Order Entry,DSC,Continuation pointer segment,R,-,False,,0,9,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/OSR_Q06
