event_code,event_title,chapter,segment_code,segment_desc,optionality,repeatability,is_group,group_path,level,order_index,detail_url
PEX_P08,PEX P08 - Unsolicited update individual product experience report Trigger Event (HL7 v2.3),Observation Reporting,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PEX_P08
PEX_P08,PEX P08 - Unsolicited update individual product experience report Trigger Event (HL7 v2.3),Observation Reporting,EVN,Event type,R,-,False,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PEX_P08
PEX_P08,PEX P08 - Unsolicited update individual product experience report Trigger Event (HL7 v2.3),Observation Reporting,PID,Patient Identification,R,-,False,,0,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PEX_P08
PEX_P08,PEX P08 - Unsolicited update individual product experience report Trigger Event (HL7 v2.3),Observation Reporting,PD1,Patient Demographic,R,-,False,,0,3,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PEX_P08
PEX_P08,PEX P08 - Unsolicited update individual product experience report Trigger Event (HL7 v2.3),Observation Reporting,NTE,Notes and comments segment,R,-,False,,0,4,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PEX_P08
PEX_P08,PEX P08 - Unsolicited update individual product experience report Trigger Event (HL7 v2.3),Observation Reporting,VISIT,VISIT group,R,inf,True,,0,5,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PEX_P08
PEX_P08,PEX P08 - Unsolicited update individual product experience report Trigger Event (HL7 v2.3),Observation Reporting,PV1,Patient visit,R,-,False,VISIT,1,6,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PEX_P08
PEX_P08,PEX P08 - Unsolicited update individual product experience report Trigger Event (HL7 v2.3),Observation Reporting,PV2,Patient visit - additional information,R,-,False,VISIT,1,7,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PEX_P08
PEX_P08,PEX P08 - Unsolicited update individual product experience report Trigger Event (HL7 v2.3),Observation Reporting,EXPERIENCE,EXPERIENCE group,R,inf,True,,0,8,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PEX_P08
PEX_P08,PEX P08 - Unsolicited update individual product experience report Trigger Event (HL7 v2.3),Observation Reporting,PES,Product Experience Sender,R,-,False,EXPERIENCE,1,9,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PEX_P08
PEX_P08,PEX P08 - Unsolicited update individual product experience report Trigger Event (HL7 v2.3),Observation Reporting,PEX OBSERVATION,PEX OBSERVATION group,R,inf,True,EXPERIENCE,1,10,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PEX_P08
