event_code,event_title,chapter,segment_code,segment_desc,optionality,repeatability,is_group,group_path,level,order_index,detail_url
PPG_PCJ,PPG PCJ - Pathway (goal-oriented) delete Trigger Event (HL7 v2.3),Patient Care,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PPG_PCJ
PPG_PCJ,PPG PCJ - Pathway (goal-oriented) delete Trigger Event (HL7 v2.3),Patient Care,PID,Patient Identification,R,-,False,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PPG_PCJ
PPG_PCJ,PPG PCJ - Pathway (goal-oriented) delete Trigger Event (HL7 v2.3),Patient Care,PATIENT VISIT,PATIENT VISIT group,R,inf,True,,0,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PPG_PCJ
PPG_PCJ,PPG PCJ - Pathway (goal-oriented) delete Trigger Event (HL7 v2.3),Patient Care,PV1,Patient visit,R,-,False,PATIENT VISIT,1,3,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PPG_PCJ
PPG_PCJ,PPG PCJ - Pathway (goal-oriented) delete Trigger Event (HL7 v2.3),Patient Care,PV2,Patient visit - additional information,R,-,False,PATIENT VISIT,1,4,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PPG_PCJ
PPG_PCJ,PPG PCJ - Pathway (goal-oriented) delete Trigger Event (HL7 v2.3),Patient Care,PATHWAY,PATHWAY group,R,inf,True,,0,5,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PPG_PCJ
PPG_PCJ,PPG PCJ - Pathway (goal-oriented) delete Trigger Event (HL7 v2.3),Patient Care,PTH,Pathway,R,-,False,PATHWAY,1,6,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PPG_PCJ
PPG_PCJ,PPG PCJ - Pathway (goal-oriented) delete Trigger Event (HL7 v2.3),Patient Care,NTE,Notes and comments segment,R,-,False,PATHWAY,1,7,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PPG_PCJ
PPG_PCJ,PPG PCJ - Pathway (goal-oriented) delete Trigger Event (HL7 v2.3),Patient Care,VAR,Variance,R,-,False,PATHWAY,1,8,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PPG_PCJ
PPG_PCJ,PPG PCJ - Pathway (goal-oriented) delete Trigger Event (HL7 v2.3),Patient Care,PATHWAY ROLE,PATHWAY ROLE group,R,inf,True,PATHWAY,1,9,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PPG_PCJ
PPG_PCJ,PPG PCJ - Pathway (goal-oriented) delete Trigger Event (HL7 v2.3),Patient Care,GOAL,GOAL group,R,inf,True,PATHWAY,1,10,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/PPG_PCJ
