event_code,event_title,chapter,segment_code,segment_desc,optionality,repeatability,is_group,group_path,level,order_index,detail_url
RCI_I05,RCI I05 - Return clinical information Trigger Event (HL7 v2.3),Patient Referral,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RCI_I05
RCI_I05,RCI I05 - Return clinical information Trigger Event (HL7 v2.3),Patient Referral,MSA,Message acknowledgement segment,R,-,False,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RCI_I05
RCI_I05,RCI I05 - Return clinical information Trigger Event (HL7 v2.3),Patient Referral,QRD,Query definition segment,R,-,False,,0,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RCI_I05
RCI_I05,RCI I05 - Return clinical information Trigger Event (HL7 v2.3),Patient Referral,QRF,Query filter segment,R,-,False,,0,3,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RCI_I05
RCI_I05,RCI I05 - Return clinical information Trigger Event (HL7 v2.3),Patient Referral,PROVIDER,PROVIDER group,R,inf,True,,0,4,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RCI_I05
RCI_I05,RCI I05 - Return clinical information Trigger Event (HL7 v2.3),Patient Referral,PRD,Provider Data,R,-,False,PROVIDER,1,5,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RCI_I05
RCI_I05,RCI I05 - Return clinical information Trigger Event (HL7 v2.3),Patient Referral,CTD,Contact Data,R,-,False,PROVIDER,1,6,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RCI_I05
RCI_I05,RCI I05 - Return clinical information Trigger Event (HL7 v2.3),Patient Referral,PID,Patient Identification,R,-,False,,0,7,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RCI_I05
RCI_I05,RCI I05 - Return clinical information Trigger Event (HL7 v2.3),Patient Referral,DG1,Diagnosis,R,-,False,,0,8,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RCI_I05
RCI_I05,RCI I05 - Return clinical information Trigger Event (HL7 v2.3),Patient Referral,DRG,Diagnosis Related Group,R,-,False,,0,9,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RCI_I05
RCI_I05,RCI I05 - Return clinical information Trigger Event (HL7 v2.3),Patient Referral,AL1,Patient Allergy Information,R,-,False,,0,10,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RCI_I05
RCI_I05,RCI I05 - Return clinical information Trigger Event (HL7 v2.3),Patient Referral,OBSERVATION,OBSERVATION group,R,inf,True,,0,11,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RCI_I05
RCI_I05,RCI I05 - Return clinical information Trigger Event (HL7 v2.3),Patient Referral,OBR,Observation request segment,R,-,False,OBSERVATION,1,12,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RCI_I05
RCI_I05,RCI I05 - Return clinical information Trigger Event (HL7 v2.3),Patient Referral,NTE,Notes and comments segment,R,-,False,OBSERVATION,1,13,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RCI_I05
RCI_I05,RCI I05 - Return clinical information Trigger Event (HL7 v2.3),Patient Referral,RESULTS,RESULTS group,R,inf,True,OBSERVATION,1,14,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RCI_I05
RCI_I05,RCI I05 - Return clinical information Trigger Event (HL7 v2.3),Patient Referral,NTE,Notes and comments segment,R,-,False,,0,15,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RCI_I05
