event_code,event_title,chapter,segment_code,segment_desc,optionality,repeatability,is_group,group_path,level,order_index,detail_url
RPA_I10,RPA I10 - Response for resubmission of an authorization Trigger Event (HL7 v2.3),Patient Referral,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RPA_I10
RPA_I10,RPA I10 - Response for resubmission of an authorization Trigger Event (HL7 v2.3),Patient Referral,MSA,Message acknowledgement segment,R,-,False,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RPA_I10
RPA_I10,RPA I10 - Response for resubmission of an authorization Trigger Event (HL7 v2.3),Patient Referral,RF1,Referral Information Segment,R,-,False,,0,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RPA_I10
RPA_I10,RPA I10 - Response for resubmission of an authorization Trigger Event (HL7 v2.3),Patient Referral,AUTHORIZATION,AUTHORIZATION group,R,inf,True,,0,3,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RPA_I10
RPA_I10,RPA I10 - Response for resubmission of an authorization Trigger Event (HL7 v2.3),Patient Referral,AUT,Authorization Information,R,-,False,AUTHORIZATION,1,4,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RPA_I10
RPA_I10,RPA I10 - Response for resubmission of an authorization Trigger Event (HL7 v2.3),Patient Referral,CTD,Contact Data,R,-,False,AUTHORIZATION,1,5,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RPA_I10
RPA_I10,RPA I10 - Response for resubmission of an authorization Trigger Event (HL7 v2.3),Patient Referral,PROVIDER,PROVIDER group,R,inf,True,,0,6,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RPA_I10
RPA_I10,RPA I10 - Response for resubmission of an authorization Trigger Event (HL7 v2.3),Patient Referral,PRD,Provider Data,R,-,False,PROVIDER,1,7,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RPA_I10
RPA_I10,RPA I10 - Response for resubmission of an authorization Trigger Event (HL7 v2.3),Patient Referral,CTD,Contact Data,R,-,False,PROVIDER,1,8,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RPA_I10
RPA_I10,RPA I10 - Response for resubmission of an authorization Trigger Event (HL7 v2.3),Patient Referral,PID,Patient Identification,R,-,False,,0,9,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RPA_I10
