event_code,event_title,chapter,segment_code,segment_desc,optionality,repeatability,is_group,group_path,level,order_index,detail_url
RQC_I06,RQC I06 - Request/receipt of clinical data listing Trigger Event (HL7 v2.3),Patient Referral,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RQC_I06
RQC_I06,RQC I06 - Request/receipt of clinical data listing Trigger Event (HL7 v2.3),Patient Referral,QRD,Query definition segment,R,-,False,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RQC_I06
RQC_I06,RQC I06 - Request/receipt of clinical data listing Trigger Event (HL7 v2.3),Patient Referral,QRF,Query filter segment,R,-,False,,0,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RQC_I06
RQC_I06,RQC I06 - Request/receipt of clinical data listing Trigger Event (HL7 v2.3),Patient Referral,PROVIDER,PROVIDER group,R,inf,True,,0,3,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RQC_I06
RQC_I06,RQC I06 - Request/receipt of clinical data listing Trigger Event (HL7 v2.3),Patient Referral,PRD,Provider Data,R,-,False,PROVIDER,1,4,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RQC_I06
RQC_I06,RQC I06 - Request/receipt of clinical data listing Trigger Event (HL7 v2.3),Patient Referral,CTD,Contact Data,R,-,False,PROVIDER,1,5,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RQC_I06
RQC_I06,RQC I06 - Request/receipt of clinical data listing Trigger Event (HL7 v2.3),Patient Referral,PID,Patient Identification,R,-,False,,0,6,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RQC_I06
RQC_I06,RQC I06 - Request/receipt of clinical data listing Trigger Event (HL7 v2.3),Patient Referral,NK1,Next of kin,R,-,False,,0,7,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RQC_I06
RQC_I06,RQC I06 - Request/receipt of clinical data listing Trigger Event (HL7 v2.3),Patient Referral,GT1,Guarantor,R,-,False,,0,8,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RQC_I06
RQC_I06,RQC I06 - Request/receipt of clinical data listing Trigger Event (HL7 v2.3),Patient Referral,NTE,Notes and comments segment,R,-,False,,0,9,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/RQC_I06
