event_code,event_title,chapter,segment_code,segment_desc,optionality,repeatability,is_group,group_path,level,order_index,detail_url
SQR_S25,SQR S25 - Schedule query message and response Trigger Event (HL7 v2.3),Scheduling,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SQR_S25
SQR_S25,SQR S25 - Schedule query message and response Trigger Event (HL7 v2.3),Scheduling,MSA,Message acknowledgement segment,R,-,False,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SQR_S25
SQR_S25,SQR S25 - Schedule query message and response Trigger Event (HL7 v2.3),Scheduling,ERR,Error segment,R,-,False,,0,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SQR_S25
SQR_S25,SQR S25 - Schedule query message and response Trigger Event (HL7 v2.3),Scheduling,QAK,Query Acknowledgement,R,-,False,,0,3,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SQR_S25
SQR_S25,SQR S25 - Schedule query message and response Trigger Event (HL7 v2.3),Scheduling,SCHEDULE,SCHEDULE group,R,inf,True,,0,4,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SQR_S25
SQR_S25,SQR S25 - Schedule query message and response Trigger Event (HL7 v2.3),Scheduling,SCH,Schedule Activity Information,R,-,False,SCHEDULE,1,5,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SQR_S25
SQR_S25,SQR S25 - Schedule query message and response Trigger Event (HL7 v2.3),Scheduling,NTE,Notes and comments segment,R,-,False,SCHEDULE,1,6,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SQR_S25
SQR_S25,SQR S25 - Schedule query message and response Trigger Event (HL7 v2.3),Scheduling,PATIENT,PATIENT group,R,inf,True,SCHEDULE,1,7,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SQR_S25
SQR_S25,SQR S25 - Schedule query message and response Trigger Event (HL7 v2.3),Scheduling,RESOURCES,RESOURCES group,R,inf,True,SCHEDULE,1,8,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SQR_S25
SQR_S25,SQR S25 - Schedule query message and response Trigger Event (HL7 v2.3),Scheduling,DSC,Continuation pointer segment,R,-,False,,0,9,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SQR_S25
