event_code,event_title,chapter,segment_code,segment_desc,optionality,repeatability,is_group,group_path,level,order_index,detail_url
SRM_S05,SRM S05 - Request appointment discontinuation Trigger Event (HL7 v2.3),Scheduling,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SRM_S05
SRM_S05,SRM S05 - Request appointment discontinuation Trigger Event (HL7 v2.3),Scheduling,ARQ,Appointment Request,R,-,False,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SRM_S05
SRM_S05,SRM S05 - Request appointment discontinuation Trigger Event (HL7 v2.3),Scheduling,APR,Appointment Preferences,R,-,False,,0,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SRM_S05
SRM_S05,SRM S05 - Request appointment discontinuation Trigger Event (HL7 v2.3),Scheduling,NTE,Notes and comments segment,R,-,False,,0,3,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SRM_S05
SRM_S05,SRM S05 - Request appointment discontinuation Trigger Event (HL7 v2.3),Scheduling,PATIENT,PATIENT group,R,inf,True,,0,4,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SRM_S05
SRM_S05,SRM S05 - Request appointment discontinuation Trigger Event (HL7 v2.3),Scheduling,PID,Patient Identification,R,-,False,PATIENT,1,5,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SRM_S05
SRM_S05,SRM S05 - Request appointment discontinuation Trigger Event (HL7 v2.3),Scheduling,PV1,Patient visit,R,-,False,PATIENT,1,6,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SRM_S05
SRM_S05,SRM S05 - Request appointment discontinuation Trigger Event (HL7 v2.3),Scheduling,PV2,Patient visit - additional information,R,-,False,PATIENT,1,7,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SRM_S05
SRM_S05,SRM S05 - Request appointment discontinuation Trigger Event (HL7 v2.3),Scheduling,OBX,Observation segment,R,-,False,PATIENT,1,8,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SRM_S05
SRM_S05,SRM S05 - Request appointment discontinuation Trigger Event (HL7 v2.3),Scheduling,DG1,Diagnosis,R,-,False,PATIENT,1,9,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SRM_S05
SRM_S05,SRM S05 - Request appointment discontinuation Trigger Event (HL7 v2.3),Scheduling,RESOURCES,RESOURCES group,R,inf,True,,0,10,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SRM_S05
SRM_S05,SRM S05 - Request appointment discontinuation Trigger Event (HL7 v2.3),Scheduling,RGS,Resource Group,R,-,False,RESOURCES,1,11,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SRM_S05
SRM_S05,SRM S05 - Request appointment discontinuation Trigger Event (HL7 v2.3),Scheduling,SERVICE,SERVICE group,R,inf,True,RESOURCES,1,12,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SRM_S05
SRM_S05,SRM S05 - Request appointment discontinuation Trigger Event (HL7 v2.3),Scheduling,GENERAL RESOURCE,GENERAL RESOURCE group,R,inf,True,RESOURCES,1,13,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SRM_S05
SRM_S05,SRM S05 - Request appointment discontinuation Trigger Event (HL7 v2.3),Scheduling,LOCATION RESOURCE,LOCATION RESOURCE group,R,inf,True,RESOURCES,1,14,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SRM_S05
SRM_S05,SRM S05 - Request appointment discontinuation Trigger Event (HL7 v2.3),Scheduling,PERSONNEL RESOURCE,PERSONNEL RESOURCE group,R,inf,True,RESOURCES,1,15,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/SRM_S05
