event_code,event_title,chapter,segment_code,segment_desc,optionality,repeatability,is_group,group_path,level,order_index,detail_url
VXR_V03,VXR V03 - Vaccination record response Trigger Event (HL7 v2.3),Order Entry,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VXR_V03
VXR_V03,VXR V03 - Vaccination record response Trigger Event (HL7 v2.3),Order Entry,MSA,Message acknowledgement segment,R,-,False,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VXR_V03
VXR_V03,VXR V03 - Vaccination record response Trigger Event (HL7 v2.3),Order Entry,QRD,Query definition segment,R,-,False,,0,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VXR_V03
VXR_V03,VXR V03 - Vaccination record response Trigger Event (HL7 v2.3),Order Entry,QRF,Query filter segment,R,-,False,,0,3,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VXR_V03
VXR_V03,VXR V03 - Vaccination record response Trigger Event (HL7 v2.3),Order Entry,PID,Patient Identification,R,-,False,,0,4,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VXR_V03
VXR_V03,VXR V03 - Vaccination record response Trigger Event (HL7 v2.3),Order Entry,PD1,Patient Demographic,R,-,False,,0,5,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VXR_V03
VXR_V03,VXR V03 - Vaccination record response Trigger Event (HL7 v2.3),Order Entry,NK1,Next of kin,R,-,False,,0,6,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VXR_V03
VXR_V03,VXR V03 - Vaccination record response Trigger Event (HL7 v2.3),Order Entry,PATIENT VISIT,PATIENT VISIT group,R,inf,True,,0,7,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VXR_V03
VXR_V03,VXR V03 - Vaccination record response Trigger Event (HL7 v2.3),Order Entry,PV1,Patient visit,R,-,False,PATIENT VISIT,1,8,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VXR_V03
VXR_V03,VXR V03 - Vaccination record response Trigger Event (HL7 v2.3),Order Entry,PV2,Patient visit - additional information,R,-,False,PATIENT VISIT,1,9,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VXR_V03
VXR_V03,VXR V03 - Vaccination record response Trigger Event (HL7 v2.3),Order Entry,INSURANCE,INSURANCE group,R,inf,True,,0,10,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VXR_V03
VXR_V03,VXR V03 - Vaccination record response Trigger Event (HL7 v2.3),Order Entry,IN1,Insurance,R,-,False,INSURANCE,1,11,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VXR_V03
VXR_V03,VXR V03 - Vaccination record response Trigger Event (HL7 v2.3),Order Entry,IN2,Insurance additional info,R,-,False,INSURANCE,1,12,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VXR_V03
VXR_V03,VXR V03 - Vaccination record response Trigger Event (HL7 v2.3),Order Entry,IN3,Insurance additional info - certification,R,-,False,INSURANCE,1,13,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VXR_V03
VXR_V03,VXR V03 - Vaccination record response Trigger Event (HL7 v2.3),Order Entry,ORDER,ORDER group,R,inf,True,,0,14,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VXR_V03
VXR_V03,VXR V03 - Vaccination record response Trigger Event (HL7 v2.3),Order Entry,ORC,Common order segment,R,-,False,ORDER,1,15,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VXR_V03
VXR_V03,VXR V03 - Vaccination record response Trigger Event (HL7 v2.3),Order Entry,RXA,Pharmacy administration segment,R,-,False,ORDER,1,16,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VXR_V03
VXR_V03,VXR V03 - Vaccination record response Trigger Event (HL7 v2.3),Order Entry,RXR,Pharmacy route segment,R,-,False,ORDER,1,17,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VXR_V03
VXR_V03,VXR V03 - Vaccination record response Trigger Event (HL7 v2.3),Order Entry,OBSERVATION,OBSERVATION group,R,inf,True,ORDER,1,18,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/VXR_V03
