event_code,event_title,chapter,segment_code,segment_desc,optionality,repeatability,is_group,group_path,level,order_index,detail_url
ACK,ACK - General acknowledgment message Trigger Event (HL7 v2.3),Control/Query,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ACK
ACK,ACK - General acknowledgment message Trigger Event (HL7 v2.3),Control/Query,MSA,Message acknowledgement segment,R,-,False,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ACK
ACK,ACK - General acknowledgment message Trigger Event (HL7 v2.3),Control/Query,ERR,Error segment,R,-,False,,0,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ACK
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,MSH,Message header segment,R,-,False,,0,0,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,MSA,Message acknowledgement segment,R,-,False,,0,1,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,ERR,Error segment,R,-,False,,0,2,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,QRD,Query definition segment,R,-,False,,0,3,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,QRF,Query filter segment,R,-,False,,0,4,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,QUERY RESPONSE,QUERY RESPONSE group,R,inf,True,,0,5,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,EVN,Event type,R,-,False,QUERY RESPONSE,1,6,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,PID,Patient Identification,R,-,False,QUERY RESPONSE,1,7,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,PD1,Patient Demographic,R,-,False,QUERY RESPONSE,1,8,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,NK1,Next of kin,R,-,False,QUERY RESPONSE,1,9,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,PV1,Patient visit,R,-,False,QUERY RESPONSE,1,10,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,PV2,Patient visit - additional information,R,-,False,QUERY RESPONSE,1,11,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,DB1,Disability Segment,R,-,False,QUERY RESPONSE,1,12,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,OBX,Observation segment,R,-,False,QUERY RESPONSE,1,13,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,AL1,Patient Allergy Information,R,-,False,QUERY RESPONSE,1,14,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,DG1,Diagnosis,R,-,False,QUERY RESPONSE,1,15,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,DRG,Diagnosis Related Group,R,-,False,QUERY RESPONSE,1,16,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,PROCEDURE,PROCEDURE group,R,inf,True,QUERY RESPONSE,1,17,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,GT1,Guarantor,R,-,False,QUERY RESPONSE,1,18,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,INSURANCE,INSURANCE group,R,inf,True,QUERY RESPONSE,1,19,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,ACC,Accident,R,-,False,QUERY RESPONSE,1,20,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,UB1,UB82 data,R,-,False,QUERY RESPONSE,1,21,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
ADR_A19,ADR A19 - Patient query Trigger Event (HL7 v2.3),Patient Administration,UB2,UB92 data,R,-,False,QUERY RESPONSE,1,22,https://hl7-definition.caristix.com/v2/HL7v2.3/TriggerEvents/ADR_A19
